index,model,train_rmse,test_rmse
83,XGBRegressor,1.8721961885664336,2.0540635926361483
84,XGBRegressor,1.87186485951877,2.054569092326793
85,XGBRegressor,1.8729036140070812,2.058744220687934
86,XGBRegressor,1.874839635581499,2.056941786408094
87,XGBRegressor,1.8712354299897984,2.056927046701968
88,XGBRegressor,1.8730206827610227,2.0565221666008107
89,XGBRegressor,1.871402510814074,2.0549320188804687
90,XGBRegressor,1.8702704931960468,2.0554637555137245
91,XGBRegressor,1.8707504208036816,2.056163188536768
92,XGBRegressor,1.8716540579135532,2.0577457410376283
93,XGBRegressor,1.8694732704519592,2.05567037066495
94,XGBRegressor,1.8698486481660397,2.056957023424305
95,XGBRegressor,1.8687750607370766,2.055505260086451
96,XGBRegressor,1.8687536414349342,2.056140461578442
97,XGBRegressor,1.8699358967566984,2.055364326585693
98,XGBRegressor,1.8701022769895264,2.0553784842323446
99,XGBRegressor,1.8696155152464573,2.054342647635127
0,LGBMRegressor,2.1227450117776803,2.1297478777485166
1,LGBMRegressor,2.021356150655357,2.050026212673439
2,LGBMRegressor,2.0050233052032347,2.0489808775487117
3,LGBMRegressor,2.0019739028858465,2.049095277647942
4,LGBMRegressor,1.973585450250297,2.0497286718196936
5,LGBMRegressor,1.964850877197629,2.045815658427779
6,LGBMRegressor,1.9581218054204186,2.0466668666611603
7,LGBMRegressor,1.9137103143141978,2.0583663778495174
8,LGBMRegressor,1.9076728409728123,2.0574767997137284
9,LGBMRegressor,1.8735652635603828,2.044060152567649
10,LGBMRegressor,1.8689363851235075,2.0463732280326803
11,LGBMRegressor,1.8620326482103202,2.0451516187828287
12,LGBMRegressor,1.858238459137366,2.045953341657545
13,LGBMRegressor,1.8568406993346482,2.0466742365694017
14,LGBMRegressor,1.8555650045809737,2.047028707316899
15,LGBMRegressor,1.8559516578421493,2.0459360116095446
16,LGBMRegressor,1.8529700356600887,2.0456088496258777
17,LGBMRegressor,1.850457316362622,2.0448606317935942
18,LGBMRegressor,1.8457283121395758,2.045618462888835
19,LGBMRegressor,1.834010997001736,2.0428974770820476
20,LGBMRegressor,1.831510941304548,2.0421797568628333
21,LGBMRegressor,1.8326251567772645,2.0410861518685404
22,LGBMRegressor,1.8250867367214216,2.0439017918899878
23,LGBMRegressor,1.8241064725122953,2.042744860920066
24,LGBMRegressor,1.8208198363046708,2.042693407678369
25,LGBMRegressor,1.820256251565733,2.043271182784717
26,LGBMRegressor,1.8109640478665945,2.04394375790974
27,LGBMRegressor,1.8096362602268319,2.0446820165795105
28,LGBMRegressor,1.8076999023386378,2.0458444041889132
29,LGBMRegressor,1.8073661559547591,2.0448476710649506
30,LGBMRegressor,1.8071638879838001,2.048082016875925
31,LGBMRegressor,1.806717308360943,2.047738932511251
32,LGBMRegressor,1.8040616563585776,2.044373621487681
33,LGBMRegressor,1.8035804371196291,2.0458330944281116
34,LGBMRegressor,1.801269066543225,2.0450458361658272
35,LGBMRegressor,1.7976661841838293,2.044745356300477
36,LGBMRegressor,1.7957943260249891,2.0438182350512126
37,LGBMRegressor,1.793042670024968,2.044040589697303
38,LGBMRegressor,1.7917930692009123,2.0423938401416724
39,LGBMRegressor,1.7905270743155977,2.0429070221574324
40,LGBMRegressor,1.7794960634543955,2.0466027880601176
41,LGBMRegressor,1.779097233921328,2.045851651348201
42,LGBMRegressor,1.7771570439880038,2.0477359592008915
43,LGBMRegressor,1.7774808029029299,2.0486069628380825
44,LGBMRegressor,1.776347194581179,2.0492278727339293
45,LGBMRegressor,1.7752534268850173,2.0485932662678605
46,LGBMRegressor,1.7759889425781448,2.0466631822981727
47,LGBMRegressor,1.772542824339554,2.0465299318500234
48,LGBMRegressor,1.771496645598813,2.046326256049725
49,LGBMRegressor,1.7718256818254061,2.0477828582162547
50,LGBMRegressor,1.7708240592548528,2.047821352457821
51,LGBMRegressor,1.7701732234294618,2.0472951071125105
52,LGBMRegressor,1.769478125300682,2.047570266751009
53,LGBMRegressor,1.76811565757598,2.046947967991719
54,LGBMRegressor,1.769023301748239,2.0475710058888694
55,LGBMRegressor,1.7676041158192188,2.0476478155008646
56,LGBMRegressor,1.7671488001290094,2.047570623463247
57,LGBMRegressor,1.764773130328658,2.050034451795023
58,LGBMRegressor,1.765353101441518,2.048973372068075
59,LGBMRegressor,1.7634870554961413,2.0477858657789567
60,LGBMRegressor,1.765149337583205,2.0481990447280753
61,LGBMRegressor,1.7621522482538345,2.0493521967895933
62,LGBMRegressor,1.7597183577452165,2.0498465611930468
63,LGBMRegressor,1.7594095250689346,2.050015190604616
64,LGBMRegressor,1.756387573497222,2.048834317469741
65,LGBMRegressor,1.7556062196045505,2.0480007596682546
66,LGBMRegressor,1.7555030301812373,2.049336659714693
67,LGBMRegressor,1.755275354595741,2.0487388546948484
68,LGBMRegressor,1.7536126030059804,2.049931290079975
69,LGBMRegressor,1.7535432311752064,2.0510833547877323
70,LGBMRegressor,1.7538758994557149,2.049689393593659
71,LGBMRegressor,1.7537204254132757,2.0494595411419985
72,LGBMRegressor,1.753671020063178,2.0485008525281363
73,LGBMRegressor,1.7519324697425258,2.049195462433468
74,LGBMRegressor,1.7525908492613698,2.048290628600788
75,LGBMRegressor,1.7519336975626,2.048799648887842
76,LGBMRegressor,1.751417307976109,2.0499702605607
77,LGBMRegressor,1.7514231004706164,2.0484761392529913
78,LGBMRegressor,1.7479733416163803,2.048407380889487
79,LGBMRegressor,1.7479323588524665,2.050044533150347
80,LGBMRegressor,1.747731918481355,2.0490794114319852
81,LGBMRegressor,1.7479647194026857,2.04867829378161
82,LGBMRegressor,1.7480557603855007,2.0499105324963396
83,LGBMRegressor,1.7470084097693868,2.048883682556445
84,LGBMRegressor,1.7467359860208909,2.050478167298296
85,LGBMRegressor,1.7473169171951646,2.0504658146031165
86,LGBMRegressor,1.7458650343889766,2.0505027291546614
87,LGBMRegressor,1.7464453007029221,2.0499497066485524
88,LGBMRegressor,1.7448835507829326,2.0473994488420413
89,LGBMRegressor,1.7452669149936852,2.04970033560075
90,LGBMRegressor,1.7462631418628454,2.0509812899001174
91,LGBMRegressor,1.7453915843469598,2.048900109664019
92,LGBMRegressor,1.7440697490939783,2.0501260437682256
93,LGBMRegressor,1.7449204961868532,2.049523731340853
94,LGBMRegressor,1.745155196828409,2.050751461496933
95,LGBMRegressor,1.7422898226172912,2.050982040686132
96,LGBMRegressor,1.7430988634354834,2.0493049348331427
97,LGBMRegressor,1.7418642952816856,2.0493760236437435
98,LGBMRegressor,1.741820220796884,2.0493431106692155
99,LGBMRegressor,1.7405866411617155,2.0475497685438757
0,HistGradientBoostingRegressor,2.12238919812829,2.1283973328349193
1,HistGradientBoostingRegressor,2.0443657476001342,2.0630896281311424
2,HistGradientBoostingRegressor,2.0235918519100258,2.0586962896486094
3,HistGradientBoostingRegressor,2.016723579735919,2.0549673764223972
4,HistGradientBoostingRegressor,2.0123750423704427,2.0502215387237244
5,HistGradientBoostingRegressor,1.9888975738455001,2.055834247283814
6,HistGradientBoostingRegressor,1.9852239757471917,2.056596043178935
7,HistGradientBoostingRegressor,1.9830585716227014,2.0560383011726766
8,HistGradientBoostingRegressor,1.9817316424619,2.05816961099267
9,HistGradientBoostingRegressor,1.963954724010862,2.0473534469925254
10,HistGradientBoostingRegressor,1.9632426650959327,2.0467867208301684
11,HistGradientBoostingRegressor,1.961261361898957,2.0479440595861207
12,HistGradientBoostingRegressor,1.9600225032520662,2.045836043757506
13,HistGradientBoostingRegressor,1.9544328053761344,2.0498865723831186
14,HistGradientBoostingRegressor,1.9532698966523778,2.0500122716053846
15,HistGradientBoostingRegressor,1.9526210644046524,2.049774534430401
16,HistGradientBoostingRegressor,1.952013564509268,2.05015785742735
17,HistGradientBoostingRegressor,1.9512809559117859,2.047831179208804
18,HistGradientBoostingRegressor,1.9495899439750706,2.0467278571739014
19,HistGradientBoostingRegressor,1.9495350782599892,2.047379142504485
20,HistGradientBoostingRegressor,1.9487380221014405,2.047085525132024
21,HistGradientBoostingRegressor,1.9467969001339736,2.0444230164488157
22,HistGradientBoostingRegressor,1.9418761906646065,2.044595393437465
23,HistGradientBoostingRegressor,1.941397821413188,2.046064295774272
24,HistGradientBoostingRegressor,1.9409811792393037,2.0454819193829947
25,HistGradientBoostingRegressor,1.9413146576868907,2.0457596389089745
26,HistGradientBoostingRegressor,1.940454429687931,2.0460596574413694
27,HistGradientBoostingRegressor,1.940097579946493,2.0473919805317173
28,HistGradientBoostingRegressor,1.9393741428950562,2.0473800096640447
29,HistGradientBoostingRegressor,1.9396457582623579,2.046557227031113
30,HistGradientBoostingRegressor,1.9391597812728274,2.046469620857814
31,HistGradientBoostingRegressor,1.9384001997224594,2.0466071466998974
32,HistGradientBoostingRegressor,1.93688133977099,2.0460650609850584
33,HistGradientBoostingRegressor,1.9369953644354705,2.0452434060654956
34,HistGradientBoostingRegressor,1.9365446690231434,2.0462953155218813
35,HistGradientBoostingRegressor,1.935511753860304,2.0450966794864462
36,HistGradientBoostingRegressor,1.9353732875801462,2.045967277509591
