,Model,delta,RMSE
14,ElasticNetCV,-1:20,2.076010293935341
15,SGDRegressor,-1:20,2.0797950851562987
16,HuberRegressor,-1:20,2.084507684847127
17,LinearSVR,-1:20,2.0911580282834907
18,KNeighborsRegressor,-1:20,2.1095137694393733
19,OrthogonalMatchingPursuit,-1:20,2.1128637055497608
20,OrthogonalMatchingPursuitCV,-1:20,2.1128637055497608
21,PoissonRegressor,-1:20,2.132196068083021
22,LarsCV,-1:20,2.141921978044632
23,GammaRegressor,-1:20,2.2612366803049397
24,TweedieRegressor,-1:20,2.272206520190407
25,ElasticNet,-1:20,2.314722193347791
26,LassoLars,-1:20,2.3681263099645355
27,DecisionTreeRegressor,-1:20,2.607938117678223
28,ExtraTreeRegressor,-1:20,2.6894603016794676
29,AdaBoostRegressor,-1:20,2.751975748240522
30,DummyRegressor,-1:20,2.9966380864076663
31,Lars,-1:20,4.037106927634026
32,PassiveAggressiveRegressor,-1:20,5.294165980177301
33,RANSACRegressor,-1:20,14.54938900960716
0,ExtraTreesRegressor,-1:25,1.8167735111407703
1,BaggingRegressor,-1:25,1.8897160951946985
2,XGBRegressor,-1:25,1.8929266188429008
3,HistGradientBoostingRegressor,-1:25,1.9288976228031698
4,LGBMRegressor,-1:25,1.9295672747343284
5,MLPRegressor,-1:25,1.9931038119097146
6,GradientBoostingRegressor,-1:25,2.0134785387239456
7,LassoLarsCV,-1:25,2.070744837269908
8,LassoLarsIC,-1:25,2.07083078454356
9,BayesianRidge,-1:25,2.0709022179798064
10,RidgeCV,-1:25,2.0709405591870427
11,Ridge,-1:25,2.0709405593109795
12,TransformedTargetRegressor,-1:25,2.0709507286227384
13,LassoCV,-1:25,2.0712058602743086
14,ElasticNetCV,-1:25,2.076037629524825
15,SGDRegressor,-1:25,2.081238864238867
16,HuberRegressor,-1:25,2.0840482777252403
17,LinearSVR,-1:25,2.0936034117453217
18,OrthogonalMatchingPursuit,-1:25,2.111785383827356
19,OrthogonalMatchingPursuitCV,-1:25,2.111785383827356
20,KNeighborsRegressor,-1:25,2.1174057531063033
21,PoissonRegressor,-1:25,2.1321846366466377
22,LarsCV,-1:25,2.141921978044632
23,GammaRegressor,-1:25,2.261248528314255
24,TweedieRegressor,-1:25,2.2721644900887195
25,ElasticNet,-1:25,2.314722192547017
26,LassoLars,-1:25,2.3681263099645355
27,AdaBoostRegressor,-1:25,2.534417868816414
28,DecisionTreeRegressor,-1:25,2.6309150002128727
29,ExtraTreeRegressor,-1:25,2.704015558612596
30,DummyRegressor,-1:25,2.9966380864076663
31,Lars,-1:25,3.9916887789611937
32,PassiveAggressiveRegressor,-1:25,4.5193865386185745
33,RANSACRegressor,-1:25,20.322945041230746
0,ExtraTreesRegressor,-1:30,1.806228247901044
1,XGBRegressor,-1:30,1.8825919638702193
2,BaggingRegressor,-1:30,1.891121051756384
3,LGBMRegressor,-1:30,1.926353339752408
4,HistGradientBoostingRegressor,-1:30,1.9287670419950722
5,MLPRegressor,-1:30,1.990553762800606
6,GradientBoostingRegressor,-1:30,2.0125554611423015
7,LassoLarsCV,-1:30,2.07063736991644
8,LassoLarsIC,-1:30,2.0706503603706987
9,BayesianRidge,-1:30,2.070801695022992
10,Ridge,-1:30,2.0708423461773604
11,RidgeCV,-1:30,2.070842346526531
12,TransformedTargetRegressor,-1:30,2.0708525265644173
13,LassoCV,-1:30,2.0711648282735022
14,ElasticNetCV,-1:30,2.075997530762099
15,SGDRegressor,-1:30,2.082366267983075
16,HuberRegressor,-1:30,2.083589782284943
17,LinearSVR,-1:30,2.0924430253394735
18,OrthogonalMatchingPursuit,-1:30,2.111785383827356
19,OrthogonalMatchingPursuitCV,-1:30,2.111785383827356
20,KNeighborsRegressor,-1:30,2.119713713673124
21,PoissonRegressor,-1:30,2.132100881506654
22,LarsCV,-1:30,2.141921978044632
23,GammaRegressor,-1:30,2.2614123861451745
24,TweedieRegressor,-1:30,2.272175037199867
25,ElasticNet,-1:30,2.3147221910418585
26,LassoLars,-1:30,2.3681263099645355
27,AdaBoostRegressor,-1:30,2.6091369659860777
28,DecisionTreeRegressor,-1:30,2.6148850165749553
29,ExtraTreeRegressor,-1:30,2.6746131448652117
30,DummyRegressor,-1:30,2.9966380864076663
31,Lars,-1:30,4.499176113871471
32,PassiveAggressiveRegressor,-1:30,4.7883189116909035
33,RANSACRegressor,-1:30,22.620537021050218
0,ExtraTreesRegressor,-1:35,1.8049373225172833
1,XGBRegressor,-1:35,1.8815965221977953
2,BaggingRegressor,-1:35,1.8816523207509732
3,LGBMRegressor,-1:35,1.9265619261125568
4,HistGradientBoostingRegressor,-1:35,1.9285938438843608
5,MLPRegressor,-1:35,1.9999896469642393
6,GradientBoostingRegressor,-1:35,2.01256566259164
7,LassoLarsIC,-1:35,2.07057536072229
8,LassoLarsCV,-1:35,2.0705874935047137
9,BayesianRidge,-1:35,2.070791281121358
10,RidgeCV,-1:35,2.07083447037279
11,Ridge,-1:35,2.0708344704718797
12,TransformedTargetRegressor,-1:35,2.070844717817699
13,LassoCV,-1:35,2.071117775154381
14,ElasticNetCV,-1:35,2.0759573160840934
15,SGDRegressor,-1:35,2.083433651509949
16,HuberRegressor,-1:35,2.0839901107846375
17,LinearSVR,-1:35,2.0937531677362187
18,OrthogonalMatchingPursuit,-1:35,2.11140935986015
19,OrthogonalMatchingPursuitCV,-1:35,2.11140935986015
20,KNeighborsRegressor,-1:35,2.116912466319262
21,PoissonRegressor,-1:35,2.1321184979381504
22,LarsCV,-1:35,2.141921978044632
23,GammaRegressor,-1:35,2.2614620597437707
24,TweedieRegressor,-1:35,2.272205054861948
25,ElasticNet,-1:35,2.3147221890967016
26,LassoLars,-1:35,2.3681263099645355
27,DecisionTreeRegressor,-1:35,2.6201286799571437
28,ExtraTreeRegressor,-1:35,2.691183966315232
29,AdaBoostRegressor,-1:35,2.698880138110343
30,DummyRegressor,-1:35,2.9966380864076663
31,PassiveAggressiveRegressor,-1:35,4.803589798117791
32,Lars,-1:35,5.035306074717454
33,RANSACRegressor,-1:35,29.80891584379474
0,ExtraTreesRegressor,-1:40,1.79809308076081
1,XGBRegressor,-1:40,1.883203168985285
2,BaggingRegressor,-1:40,1.883384237997248
3,LGBMRegressor,-1:40,1.9242900924165838
4,HistGradientBoostingRegressor,-1:40,1.9253180980584517
5,MLPRegressor,-1:40,1.9910775408868266
6,GradientBoostingRegressor,-1:40,2.011507000200798
7,LassoLarsIC,-1:40,2.070677573113775
8,LassoLarsCV,-1:40,2.070699001555301
9,BayesianRidge,-1:40,2.0709603234775233
10,Ridge,-1:40,2.071004987726238
11,RidgeCV,-1:40,2.0710049881233434
12,TransformedTargetRegressor,-1:40,2.0710151070700524
13,LassoCV,-1:40,2.0712018480820147
14,ElasticNetCV,-1:40,2.076039286462377
15,HuberRegressor,-1:40,2.0847727915984615
16,SGDRegressor,-1:40,2.085015898963795
17,LinearSVR,-1:40,2.0930684847567056
18,OrthogonalMatchingPursuit,-1:40,2.11140935986015
19,OrthogonalMatchingPursuitCV,-1:40,2.11140935986015
20,KNeighborsRegressor,-1:40,2.117251940666728
21,PoissonRegressor,-1:40,2.132075761972217
22,LarsCV,-1:40,2.141921978044632
23,GammaRegressor,-1:40,2.261521175638306
24,TweedieRegressor,-1:40,2.272207589559876
25,ElasticNet,-1:40,2.3147221870772188
26,LassoLars,-1:40,2.3681263099645355
27,DecisionTreeRegressor,-1:40,2.630743595820073
28,ExtraTreeRegressor,-1:40,2.6824202908712342
29,AdaBoostRegressor,-1:40,2.767016972861462
30,DummyRegressor,-1:40,2.9966380864076663
31,PassiveAggressiveRegressor,-1:40,4.886571758916914
32,Lars,-1:40,4.925435444610989
33,RANSACRegressor,-1:40,25.920761446064667
0,ExtraTreesRegressor,-1:45,1.79300773579971
1,XGBRegressor,-1:45,1.8727402982212382
2,BaggingRegressor,-1:45,1.8792303296205775
3,LGBMRegressor,-1:45,1.9227715789980862
4,HistGradientBoostingRegressor,-1:45,1.9252579137486499
5,MLPRegressor,-1:45,1.9960998331668054
6,GradientBoostingRegressor,-1:45,2.0098379424797863
7,LassoLarsCV,-1:45,2.0706880926893887
8,LassoLarsIC,-1:45,2.070826115519451
9,BayesianRidge,-1:45,2.071006470959495
10,RidgeCV,-1:45,2.0710528151133656
11,Ridge,-1:45,2.0710528152919223
12,TransformedTargetRegressor,-1:45,2.0710628597400444
13,LassoCV,-1:45,2.071090488401393
14,ElasticNetCV,-1:45,2.07592678599285
15,SGDRegressor,-1:45,2.0811315165879125
16,HuberRegressor,-1:45,2.0838679167962946
17,LinearSVR,-1:45,2.097124881017762
18,OrthogonalMatchingPursuit,-1:45,2.11140935986015
19,OrthogonalMatchingPursuitCV,-1:45,2.11140935986015
20,KNeighborsRegressor,-1:45,2.1116432272168946
21,PoissonRegressor,-1:45,2.1320880114802727
22,LarsCV,-1:45,2.141921978044632
23,GammaRegressor,-1:45,2.2616231521631045
24,TweedieRegressor,-1:45,2.272202229200569
25,ElasticNet,-1:45,2.3147221854134723
26,LassoLars,-1:45,2.3681263099645355
27,DecisionTreeRegressor,-1:45,2.607844938806444
28,ExtraTreeRegressor,-1:45,2.6844100767402335
29,AdaBoostRegressor,-1:45,2.753920246168435
30,DummyRegressor,-1:45,2.9966380864076663
31,PassiveAggressiveRegressor,-1:45,4.810535234574297
32,Lars,-1:45,5.931050310220228
33,RANSACRegressor,-1:45,15.993586613915054
0,ExtraTreesRegressor,-1:50,1.7870640150675985
1,BaggingRegressor,-1:50,1.8761966160926449
2,XGBRegressor,-1:50,1.8774637232182592
3,LGBMRegressor,-1:50,1.9217706511231945
4,HistGradientBoostingRegressor,-1:50,1.923712518535361
5,MLPRegressor,-1:50,1.9977733503971902
6,GradientBoostingRegressor,-1:50,2.0112587441293175
7,LassoLarsCV,-1:50,2.0705519927956098
8,LassoLarsIC,-1:50,2.070705916215606
9,BayesianRidge,-1:50,2.070879867777546
10,Ridge,-1:50,2.070928455244636
11,RidgeCV,-1:50,2.070928455353689
12,TransformedTargetRegressor,-1:50,2.0709385398954523
13,LassoCV,-1:50,2.0709709454336007
14,ElasticNetCV,-1:50,2.075808085887095
15,SGDRegressor,-1:50,2.0790307505699834
16,HuberRegressor,-1:50,2.0835274314079215
17,LinearSVR,-1:50,2.094356884709436
18,KNeighborsRegressor,-1:50,2.1077459044266824
19,OrthogonalMatchingPursuit,-1:50,2.10970745480272
20,OrthogonalMatchingPursuitCV,-1:50,2.10970745480272
21,PoissonRegressor,-1:50,2.1320559282181386
22,LarsCV,-1:50,2.141921978044632
23,GammaRegressor,-1:50,2.2617877749573814
24,TweedieRegressor,-1:50,2.2721780519806365
25,ElasticNet,-1:50,2.3147221841771217
26,LassoLars,-1:50,2.3681263099645355
27,DecisionTreeRegressor,-1:50,2.595427108069761
28,AdaBoostRegressor,-1:50,2.6516529339560955
29,ExtraTreeRegressor,-1:50,2.6662788514418487
30,DummyRegressor,-1:50,2.9966380864076663
31,PassiveAggressiveRegressor,-1:50,4.536745913581258
32,Lars,-1:50,5.220945275193147
33,RANSACRegressor,-1:50,22.31835312881951
0,ExtraTreesRegressor,-1:55,1.7822184814189688
1,BaggingRegressor,-1:55,1.8683631455782759
2,XGBRegressor,-1:55,1.8749885777518358
3,LGBMRegressor,-1:55,1.9205267729832531
4,HistGradientBoostingRegressor,-1:55,1.9243963074339931
5,MLPRegressor,-1:55,2.004500579756692
6,GradientBoostingRegressor,-1:55,2.0115433824006694
7,LassoLarsIC,-1:55,2.070599110040862
8,LassoLarsCV,-1:55,2.07062346356147
9,BayesianRidge,-1:55,2.0709677434404097
10,LassoCV,-1:55,2.0710076090579284
11,Ridge,-1:55,2.0710198103717055
12,RidgeCV,-1:55,2.071019810622335
13,TransformedTargetRegressor,-1:55,2.0710301504367785
14,ElasticNetCV,-1:55,2.0758537647002298
15,SGDRegressor,-1:55,2.0831244877135537
16,HuberRegressor,-1:55,2.0842621295960746
17,LinearSVR,-1:55,2.095582491568943
18,OrthogonalMatchingPursuit,-1:55,2.10970745480272
19,OrthogonalMatchingPursuitCV,-1:55,2.10970745480272
20,KNeighborsRegressor,-1:55,2.1098699871797466
21,PoissonRegressor,-1:55,2.132118267111732
22,LarsCV,-1:55,2.141921978044632
23,GammaRegressor,-1:55,2.2619417050483928
24,TweedieRegressor,-1:55,2.2722205598523897
25,ElasticNet,-1:55,2.314722183273866
26,LassoLars,-1:55,2.3681263099645355
27,AdaBoostRegressor,-1:55,2.481041387579829
28,DecisionTreeRegressor,-1:55,2.5999702377632374
29,ExtraTreeRegressor,-1:55,2.6468112181164045
30,DummyRegressor,-1:55,2.9966380864076663
31,PassiveAggressiveRegressor,-1:55,3.2357532375625326
32,Lars,-1:55,4.300137901141523
33,RANSACRegressor,-1:55,8.404164790518156
0,ExtraTreesRegressor,-2:00,1.7781654348283265
1,BaggingRegressor,-2:00,1.8660146647591924
2,XGBRegressor,-2:00,1.8756780056843954
3,LGBMRegressor,-2:00,1.9215065016434048
4,HistGradientBoostingRegressor,-2:00,1.9231424124417482
5,MLPRegressor,-2:00,2.007624111587979
6,GradientBoostingRegressor,-2:00,2.012609129677097
7,LassoLarsIC,-2:00,2.07032175997664
8,LassoLarsCV,-2:00,2.0703320622193715
9,BayesianRidge,-2:00,2.070687495165774
10,RidgeCV,-2:00,2.070740699328441
11,Ridge,-2:00,2.0707406995656727
12,TransformedTargetRegressor,-2:00,2.0707508993174213
13,LassoCV,-2:00,2.0707908702282793
14,ElasticNetCV,-2:00,2.075640822648487
15,OrthogonalMatchingPursuit,-2:00,2.0805066009837914
16,OrthogonalMatchingPursuitCV,-2:00,2.0805066009837914
17,SGDRegressor,-2:00,2.083757685750834
18,HuberRegressor,-2:00,2.084287767065927
19,LinearSVR,-2:00,2.0932666475647386
20,KNeighborsRegressor,-2:00,2.108537686066591
21,PoissonRegressor,-2:00,2.1318236559829504
22,LarsCV,-2:00,2.141921978044632
23,GammaRegressor,-2:00,2.261858246408314
24,TweedieRegressor,-2:00,2.272102750951379
25,ElasticNet,-2:00,2.314722182684282
26,LassoLars,-2:00,2.3681263099645355
27,DecisionTreeRegressor,-2:00,2.5932811353625462
28,ExtraTreeRegressor,-2:00,2.665993385832077
29,AdaBoostRegressor,-2:00,2.7088555511341803
30,DummyRegressor,-2:00,2.9966380864076663
31,Lars,-2:00,4.392081955987724
32,PassiveAggressiveRegressor,-2:00,4.9696977648000455
33,RANSACRegressor,-2:00,26.485476180691766
0,ExtraTreesRegressor,-2:05,1.774111645476434
1,BaggingRegressor,-2:05,1.8599465416284007
2,XGBRegressor,-2:05,1.8711118425499713
3,LGBMRegressor,-2:05,1.9196323127059687
4,HistGradientBoostingRegressor,-2:05,1.9200564129131608
5,MLPRegressor,-2:05,1.995936924082487
6,GradientBoostingRegressor,-2:05,2.0101060155610937
7,LassoLarsCV,-2:05,2.070258380513663
8,LassoLarsIC,-2:05,2.070293400407556
9,BayesianRidge,-2:05,2.070650049201336
10,RidgeCV,-2:05,2.0707061944449623
11,Ridge,-2:05,2.070706194445796
12,LassoCV,-2:05,2.0707066999406782
13,TransformedTargetRegressor,-2:05,2.0707165482160423
14,ElasticNetCV,-2:05,2.075560162103807
15,OrthogonalMatchingPursuit,-2:05,2.0805066009837914
16,OrthogonalMatchingPursuitCV,-2:05,2.0805066009837914
17,HuberRegressor,-2:05,2.0842186954359865
18,SGDRegressor,-2:05,2.0846126872287214
19,LinearSVR,-2:05,2.09453866611032
20,KNeighborsRegressor,-2:05,2.11025888334202
21,PoissonRegressor,-2:05,2.1317286356250604
22,LarsCV,-2:05,2.141921978044632
23,GammaRegressor,-2:05,2.261788592843604
24,TweedieRegressor,-2:05,2.272017610191217
25,ElasticNet,-2:05,2.3147221823373227
26,LassoLars,-2:05,2.3681263099645355
27,DecisionTreeRegressor,-2:05,2.5724067461080415
28,ExtraTreeRegressor,-2:05,2.653439690653574
29,AdaBoostRegressor,-2:05,2.6978211447104705
30,DummyRegressor,-2:05,2.9966380864076663
31,Lars,-2:05,4.429909990394463
32,PassiveAggressiveRegressor,-2:05,4.992383567750382
33,RANSACRegressor,-2:05,17.439861628505607
0,ExtraTreesRegressor,-2:10,1.7698912620929006
1,BaggingRegressor,-2:10,1.8571245650757016
2,XGBRegressor,-2:10,1.8736761821443166
3,LGBMRegressor,-2:10,1.918202851277625
4,HistGradientBoostingRegressor,-2:10,1.920169398133509
5,MLPRegressor,-2:10,2.003782016045267
6,GradientBoostingRegressor,-2:10,2.010762399447616
7,LassoLarsCV,-2:10,2.0701524527559596
8,LassoLarsIC,-2:10,2.070369660859677
9,BayesianRidge,-2:10,2.0705728552708296
10,LassoCV,-2:10,2.0705783685286483
11,RidgeCV,-2:10,2.0706326005353866
12,Ridge,-2:10,2.070632600567392
13,TransformedTargetRegressor,-2:10,2.070643202410275
14,ElasticNetCV,-2:10,2.0754272640952243
15,OrthogonalMatchingPursuit,-2:10,2.0805066009837914
16,OrthogonalMatchingPursuitCV,-2:10,2.0805066009837914
17,SGDRegressor,-2:10,2.0820807120323543
18,HuberRegressor,-2:10,2.084184924341477
19,LinearSVR,-2:10,2.0916297915904085
20,KNeighborsRegressor,-2:10,2.110824331593612
21,PoissonRegressor,-2:10,2.131571241808386
22,LarsCV,-2:10,2.141921978044632
23,GammaRegressor,-2:10,2.26172741381152
24,TweedieRegressor,-2:10,2.2719450952111573
25,ElasticNet,-2:10,2.3147221821067068
26,LassoLars,-2:10,2.3681263099645355
27,DecisionTreeRegressor,-2:10,2.584486840211006
28,ExtraTreeRegressor,-2:10,2.6576558208203718
29,AdaBoostRegressor,-2:10,2.6673942519503147
30,DummyRegressor,-2:10,2.9966380864076663
31,PassiveAggressiveRegressor,-2:10,3.237338256120286
32,Lars,-2:10,4.599439523903906
33,RANSACRegressor,-2:10,15.819228088672196
0,ExtraTreesRegressor,-2:15,1.7636456633966857
1,BaggingRegressor,-2:15,1.8549076813685206
2,XGBRegressor,-2:15,1.869168089392905
3,LGBMRegressor,-2:15,1.9197236167288134
4,HistGradientBoostingRegressor,-2:15,1.9212597509118101
5,MLPRegressor,-2:15,2.0113606275846787
6,GradientBoostingRegressor,-2:15,2.0134402240277547
7,LassoLarsCV,-2:15,2.0701310164920894
8,LassoLarsIC,-2:15,2.0702904081023434
9,BayesianRidge,-2:15,2.070532515561519
10,LassoCV,-2:15,2.070540727837452
11,RidgeCV,-2:15,2.0705941568542907
12,Ridge,-2:15,2.070594156876705
13,TransformedTargetRegressor,-2:15,2.070604752045975
14,ElasticNetCV,-2:15,2.0754001044513393
15,OrthogonalMatchingPursuit,-2:15,2.0797749113020716
16,OrthogonalMatchingPursuitCV,-2:15,2.0797749113020716
17,SGDRegressor,-2:15,2.082752244253708
18,HuberRegressor,-2:15,2.0848696229938777
19,LinearSVR,-2:15,2.096817844846128
20,KNeighborsRegressor,-2:15,2.1114266054987882
21,PoissonRegressor,-2:15,2.1314151144518347
22,LarsCV,-2:15,2.141921978044632
23,GammaRegressor,-2:15,2.261793502284058
24,TweedieRegressor,-2:15,2.27185140125779
25,ElasticNet,-2:15,2.314722182098635
26,LassoLars,-2:15,2.3681263099645355
27,AdaBoostRegressor,-2:15,2.557094703617452
28,DecisionTreeRegressor,-2:15,2.605100271272975
29,ExtraTreeRegressor,-2:15,2.6451793017377936
30,DummyRegressor,-2:15,2.9966380864076663
31,PassiveAggressiveRegressor,-2:15,3.2527717125654947
32,Lars,-2:15,4.6031464066784835
33,RANSACRegressor,-2:15,35.113219007678616
0,ExtraTreesRegressor,-2:20,1.764446253316007
1,BaggingRegressor,-2:20,1.855949354037838
2,XGBRegressor,-2:20,1.8735702642682934
3,LGBMRegressor,-2:20,1.9165700889749522
4,HistGradientBoostingRegressor,-2:20,1.919347817113752
5,GradientBoostingRegressor,-2:20,2.013518037875427
6,MLPRegressor,-2:20,2.0252973274520687
7,LassoLarsCV,-2:20,2.0704462278482234
8,LassoLarsIC,-2:20,2.070451850949586
9,LassoCV,-2:20,2.0708081772362905
10,BayesianRidge,-2:20,2.0708967455630947
11,RidgeCV,-2:20,2.0709619225372498
12,Ridge,-2:20,2.0709619226101488
13,TransformedTargetRegressor,-2:20,2.0709727467659493
14,ElasticNetCV,-2:20,2.075667705707051
15,OrthogonalMatchingPursuitCV,-2:20,2.0797749113020716
16,OrthogonalMatchingPursuit,-2:20,2.0797749113020716
17,SGDRegressor,-2:20,2.083427412819262
18,HuberRegressor,-2:20,2.0854167210336976
19,LinearSVR,-2:20,2.093129759121897
20,KNeighborsRegressor,-2:20,2.108448203236406
21,PoissonRegressor,-2:20,2.1316467804815598
22,LarsCV,-2:20,2.141921978044632
23,GammaRegressor,-2:20,2.2617606815278197
24,TweedieRegressor,-2:20,2.271857533356117
25,ElasticNet,-2:20,2.3147221822960913
26,LassoLars,-2:20,2.3681263099645355
27,DecisionTreeRegressor,-2:20,2.6024516455990336
28,ExtraTreeRegressor,-2:20,2.6312605755597156
29,AdaBoostRegressor,-2:20,2.683627875583796
30,DummyRegressor,-2:20,2.9966380864076663
31,PassiveAggressiveRegressor,-2:20,3.2606832942935586
32,Lars,-2:20,4.557749658616901
33,RANSACRegressor,-2:20,14.409243894563762
0,ExtraTreesRegressor,-2:25,1.7627138503792603
1,BaggingRegressor,-2:25,1.8545004892650483
2,XGBRegressor,-2:25,1.8660408284815269
3,HistGradientBoostingRegressor,-2:25,1.9186828987384124
4,LGBMRegressor,-2:25,1.9193566943968396
5,MLPRegressor,-2:25,2.0072824743883313
6,GradientBoostingRegressor,-2:25,2.011411605544782
7,LassoLarsCV,-2:25,2.0701440413423535
8,LassoLarsIC,-2:25,2.0703990787302162
9,LassoCV,-2:25,2.0705170798680426
10,BayesianRidge,-2:25,2.0706149096827877
11,Ridge,-2:25,2.070681868887475
12,RidgeCV,-2:25,2.07068186890788
13,TransformedTargetRegressor,-2:25,2.070692675005597
14,ElasticNetCV,-2:25,2.0753705861980576
15,OrthogonalMatchingPursuit,-2:25,2.0797219379264362
16,OrthogonalMatchingPursuitCV,-2:25,2.0797219379264362
17,SGDRegressor,-2:25,2.0834998465225305
18,HuberRegressor,-2:25,2.085755873679971
19,LinearSVR,-2:25,2.0977294689296087
20,KNeighborsRegressor,-2:25,2.1117398640683156
21,PoissonRegressor,-2:25,2.131228532939311
22,LarsCV,-2:25,2.141921978044632
23,GammaRegressor,-2:25,2.2615611084447327
24,TweedieRegressor,-2:25,2.2716403417845736
25,ElasticNet,-2:25,2.3147221826897004
26,LassoLars,-2:25,2.3681263099645355
27,DecisionTreeRegressor,-2:25,2.60710747400858
28,ExtraTreeRegressor,-2:25,2.6512538326517143
29,AdaBoostRegressor,-2:25,2.6881738440556813
30,DummyRegressor,-2:25,2.9966380864076663
31,PassiveAggressiveRegressor,-2:25,3.262668558088881
32,Lars,-2:25,4.651589052354951
33,RANSACRegressor,-2:25,34.74523397642378
0,ExtraTreesRegressor,-2:30,1.7517931401167586
1,BaggingRegressor,-2:30,1.8559151764595638
2,XGBRegressor,-2:30,1.8728241185010506
3,LGBMRegressor,-2:30,1.91803116305614
4,HistGradientBoostingRegressor,-2:30,1.9201597180683898
5,GradientBoostingRegressor,-2:30,2.011758775254025
6,MLPRegressor,-2:30,2.0232798904091687
7,LassoLarsCV,-2:30,2.069749479263932
8,LassoLarsIC,-2:30,2.069802343559988
9,LassoCV,-2:30,2.0701171708849353
10,BayesianRidge,-2:30,2.0702033643998794
11,Ridge,-2:30,2.070271192586593
12,RidgeCV,-2:30,2.070271192588881
13,TransformedTargetRegressor,-2:30,2.0702818813727184
14,ElasticNetCV,-2:30,2.0749734748218907
15,OrthogonalMatchingPursuitCV,-2:30,2.0797219379264362
16,OrthogonalMatchingPursuit,-2:30,2.0797219379264362
17,SGDRegressor,-2:30,2.0836889477963876
18,HuberRegressor,-2:30,2.0847912462825966
19,LinearSVR,-2:30,2.0958520950959025
20,KNeighborsRegressor,-2:30,2.1121573620192056
21,PoissonRegressor,-2:30,2.130867977326089
22,LarsCV,-2:30,2.141324810677643
23,GammaRegressor,-2:30,2.261367107921749
24,TweedieRegressor,-2:30,2.27140442794326
25,ElasticNet,-2:30,2.3147221830906006
26,LassoLars,-2:30,2.3681263099645355
27,DecisionTreeRegressor,-2:30,2.59796283682663
28,ExtraTreeRegressor,-2:30,2.644470282486476
29,AdaBoostRegressor,-2:30,2.738273874429108
30,DummyRegressor,-2:30,2.9966380864076663
31,PassiveAggressiveRegressor,-2:30,3.2860256634891725
32,Lars,-2:30,4.58604755143341
33,RANSACRegressor,-2:30,14.002226084366775
0,ExtraTreesRegressor,-2:35,1.7533692131577763
1,BaggingRegressor,-2:35,1.852335346667324
2,XGBRegressor,-2:35,1.8722097653990073
3,LGBMRegressor,-2:35,1.9171512604769354
4,HistGradientBoostingRegressor,-2:35,1.9184666871593725
5,MLPRegressor,-2:35,2.0043785097757842
6,GradientBoostingRegressor,-2:35,2.0116559798968643
7,LassoLarsCV,-2:35,2.069416491061921
8,LassoLarsIC,-2:35,2.069454370445756
9,BayesianRidge,-2:35,2.0698486906868254
10,LassoCV,-2:35,2.069853866050918
11,Ridge,-2:35,2.069917232031953
12,RidgeCV,-2:35,2.069917232096133
13,TransformedTargetRegressor,-2:35,2.069927794844673
14,ElasticNetCV,-2:35,2.074703867735036
15,OrthogonalMatchingPursuit,-2:35,2.0797219379264362
16,OrthogonalMatchingPursuitCV,-2:35,2.0797219379264362
17,SGDRegressor,-2:35,2.083407224619742
18,HuberRegressor,-2:35,2.084145949311654
19,LinearSVR,-2:35,2.0926587084960664
20,KNeighborsRegressor,-2:35,2.1127629804080184
21,PoissonRegressor,-2:35,2.1305527507272437
22,LarsCV,-2:35,2.141921978044632
23,GammaRegressor,-2:35,2.261230657838247
24,TweedieRegressor,-2:35,2.271183289484882
25,ElasticNet,-2:35,2.3147221834428118
26,LassoLars,-2:35,2.3681263099645355
27,DecisionTreeRegressor,-2:35,2.5797951690970624
28,ExtraTreeRegressor,-2:35,2.6014478004812487
29,AdaBoostRegressor,-2:35,2.6415115036389154
30,DummyRegressor,-2:35,2.9966380864076663
31,PassiveAggressiveRegressor,-2:35,3.2703903614688077
32,Lars,-2:35,4.557555441165104
33,RANSACRegressor,-2:35,16.547889380325312
0,ExtraTreesRegressor,-2:40,1.7479275872448359
1,BaggingRegressor,-2:40,1.8452159454688222
2,XGBRegressor,-2:40,1.862850907681236
3,LGBMRegressor,-2:40,1.91476751865129
4,HistGradientBoostingRegressor,-2:40,1.9173033618655129
5,MLPRegressor,-2:40,2.0057342439705197
6,GradientBoostingRegressor,-2:40,2.0120540983412356
7,LassoLarsCV,-2:40,2.069087764404132
8,LassoLarsIC,-2:40,2.069111635332806
9,BayesianRidge,-2:40,2.0694574607067673
10,RidgeCV,-2:40,2.069529576256802
11,Ridge,-2:40,2.0695295762901873
12,TransformedTargetRegressor,-2:40,2.069540353395513
13,LassoCV,-2:40,2.069563777343015
14,ElasticNetCV,-2:40,2.074414937546125
15,OrthogonalMatchingPursuit,-2:40,2.079966670541525
16,OrthogonalMatchingPursuitCV,-2:40,2.079966670541525
17,SGDRegressor,-2:40,2.0835692078193686
18,HuberRegressor,-2:40,2.08411076923559
19,LinearSVR,-2:40,2.0924413381827853
20,KNeighborsRegressor,-2:40,2.111032211407303
21,PoissonRegressor,-2:40,2.130153566353976
22,LarsCV,-2:40,2.141921978044632
23,GammaRegressor,-2:40,2.2611123758582434
24,TweedieRegressor,-2:40,2.2709747258613264
25,ElasticNet,-2:40,2.3147221837837466
26,LassoLars,-2:40,2.3681263099645355
27,DecisionTreeRegressor,-2:40,2.5795080863928015
28,ExtraTreeRegressor,-2:40,2.6151192915529484
29,AdaBoostRegressor,-2:40,2.687703194589789
30,DummyRegressor,-2:40,2.9966380864076663
