,Model,delta,RMSE
9,Ridge,-0:15,2.074645428707876
10,LassoLarsCV,-0:15,2.074646018640027
11,RidgeCV,-0:15,2.0746565449172687
12,Lars,-0:15,2.0746578116357544
13,LassoLarsIC,-0:15,2.0746578116357544
14,TransformedTargetRegressor,-0:15,2.074657811635756
15,LassoCV,-0:15,2.0749861176297393
16,SGDRegressor,-0:15,2.077060695424997
17,ElasticNetCV,-0:15,2.0798432001183635
18,HuberRegressor,-0:15,2.084981703680008
19,OrthogonalMatchingPursuitCV,-0:15,2.089246265977112
20,LinearSVR,-0:15,2.094669662561747
21,OrthogonalMatchingPursuit,-0:15,2.145026966405655
22,KNeighborsRegressor,-0:15,2.1462454048090986
23,PoissonRegressor,-0:15,2.1469029935868957
24,GammaRegressor,-0:15,2.248736470750253
25,TweedieRegressor,-0:15,2.2557785012615206
26,ElasticNet,-0:15,2.3140792557779273
27,LassoLars,-0:15,2.3681263099645355
28,AdaBoostRegressor,-0:15,2.6494858873150884
29,DecisionTreeRegressor,-0:15,2.6976732248843414
30,ExtraTreeRegressor,-0:15,2.812581195726817
31,DummyRegressor,-0:15,2.9966380864076663
32,PassiveAggressiveRegressor,-0:15,3.0413828812227672
33,RANSACRegressor,-0:15,45.77964233792637
0,XGBRegressor,-0:20,1.923211596319505
1,ExtraTreesRegressor,-0:20,1.94067025838442
2,LGBMRegressor,-0:20,1.9501023303872707
3,HistGradientBoostingRegressor,-0:20,1.9532865388126779
4,MLPRegressor,-0:20,1.985990076975961
5,BaggingRegressor,-0:20,1.988043715480461
6,GradientBoostingRegressor,-0:20,2.0173238760323864
7,LassoLarsIC,-0:20,2.073669519491278
8,BayesianRidge,-0:20,2.073680414345529
9,Ridge,-0:20,2.0736859033715076
10,RidgeCV,-0:20,2.073696363336847
11,LassoLarsCV,-0:20,2.0736975583560646
12,TransformedTargetRegressor,-0:20,2.073697558356066
13,LassoCV,-0:20,2.0742807911196026
14,SGDRegressor,-0:20,2.0771731293130133
15,ElasticNetCV,-0:20,2.079212392899733
16,HuberRegressor,-0:20,2.0840454798440304
17,LarsCV,-0:20,2.0919633275574006
18,LinearSVR,-0:20,2.094421827173953
19,OrthogonalMatchingPursuitCV,-0:20,2.098441839501956
20,OrthogonalMatchingPursuit,-0:20,2.1042137289584035
21,PoissonRegressor,-0:20,2.140117041400076
22,KNeighborsRegressor,-0:20,2.1474734950840926
23,GammaRegressor,-0:20,2.2513404234362326
24,TweedieRegressor,-0:20,2.2603966308076524
25,ElasticNet,-0:20,2.314725612678303
26,LassoLars,-0:20,2.3681263099645355
27,Lars,-0:20,2.679592450599316
