,0
hour_sin,0.019997965452805532
hour_cos,0.013838035479756695
bg-2:00,0.0024991513654480713
bg-1:55,0.0006731581994770863
bg-1:50,0.0002525592440002722
bg-1:45,0.0003477792004729308
bg-1:40,0.0005633019427191188
bg-1:35,0.0004276187091070027
bg-1:30,0.0005497190346144265
bg-1:25,0.0006666152900543954
bg-1:20,0.0004958313904324663
bg-1:15,0.00035903066367639627
bg-1:10,0.0003401296005322574
bg-1:05,0.0008425698533980231
bg-1:00,0.0006016657186044938
bg-0:55,0.0005462854671789529
bg-0:50,0.0006911461781817895
bg-0:45,0.001134300135177868
bg-0:40,0.0006592911722226868
bg-0:35,0.001444178273243024
bg-0:30,0.0015607046679988912
bg-0:25,0.0029002386380052037
bg-0:20,0.004759718003797209
bg-0:15,0.015073464559021421
bg-0:10,0.015131610500910808
bg-0:05,0.004789842591328086
bg-0:00,1.3922107451314587
insulin-2:00,0.00024518738808954055
insulin-1:55,0.00043561351948722126
insulin-1:50,4.306329601341252e-05
insulin-1:45,3.40040107615458e-05
insulin-1:40,0.0003741480075438508
insulin-1:35,8.269320069073104e-05
insulin-1:30,0.000435583509831583
insulin-1:25,0.0004971953734449364
insulin-1:20,0.00038352888523401907
insulin-1:15,0.0005052993498903535
insulin-1:10,0.0005542787413443162
insulin-1:05,0.0008992344827181808
insulin-1:00,0.0008698586164994304
insulin-0:55,0.0008345544843561869
insulin-0:50,0.0011295331924941697
insulin-0:45,0.0011996149604737826
insulin-0:40,0.0012800679667548498
insulin-0:35,0.0018524093453998968
insulin-0:30,0.0015481869045378626
insulin-0:25,0.001961350077138968
insulin-0:20,0.0017985270367577688
insulin-0:15,0.0018358465530183277
insulin-0:10,0.002380432739068439
insulin-0:05,0.002459553166271633
insulin-0:00,0.0020193928972538243
hr-2:00,0.00015524729567274466
hr-1:55,0.00011473728989271902
hr-1:50,0.00011014439408649768
hr-1:45,0.0001326911294531663
hr-1:40,0.00016692069408927868
hr-1:35,0.00017639439862466856
hr-1:30,8.700553633185226e-05
hr-1:25,0.000103926212387917
hr-1:20,0.0001376195541658909
hr-1:15,9.981483612968578e-05
hr-1:10,0.000675066335733876
hr-1:05,0.00023032594884521141
hr-1:00,0.00014891796367124676
hr-0:55,0.000617780356762998
hr-0:50,0.00030152566052550346
hr-0:45,0.0001550851456967317
hr-0:40,0.00016629716753094881
hr-0:35,0.000132238730870482
hr-0:30,0.00011080876417470797
hr-0:25,0.0001156099059515192
hr-0:20,0.0002450630448390556
hr-0:15,0.0008956376077930873
hr-0:10,0.001563328367092287
hr-0:05,0.0005953308858518081
hr-0:00,0.004413100402706804
steps-2:00,0.0
steps-1:55,2.3074229128972058e-05
steps-1:50,3.854352627437052e-05
steps-1:45,8.516749239549926e-05
steps-1:40,0.0
steps-1:35,1.5983593514601323e-05
steps-1:30,0.0003038517488298087
steps-1:25,0.0003860481068235444
steps-1:20,0.00013628167009678284
steps-1:15,1.6008334267159084e-05
steps-1:10,0.00015181042810440414
steps-1:05,0.00022758450604389857
steps-1:00,5.6735567498344966e-05
steps-0:55,0.0006763304148340698
steps-0:50,0.0005490858059630788
steps-0:45,0.00026800703123434075
steps-0:40,0.00018831285042223423
steps-0:35,0.00010546796511644585
steps-0:30,0.0002001388982099006
steps-0:25,0.0003336107014520029
steps-0:20,0.0010732829948210676
steps-0:15,0.0009306966751358115
steps-0:10,0.00023189144568294128
steps-0:05,0.00041162963353346126
steps-0:00,0.003458296981451825
cals-2:00,9.686199566371068e-05
cals-1:55,2.8591935344735032e-05
cals-1:50,0.0003634970861943976
cals-1:45,0.00021661261528110876
cals-1:40,0.0002346256078376241
cals-1:35,0.00013514495769717527
cals-1:30,0.00011433362623121112
cals-1:25,0.0002075357097394037
cals-1:20,0.00028334536462988337
cals-1:15,0.00013404491180369905
cals-1:10,0.00010691993019317226
cals-1:05,0.00019339121503101354
cals-1:00,0.00011122885999534927
cals-0:55,0.00019338620988846867
cals-0:50,0.00024411766457620442
cals-0:45,0.00021126026367801476
cals-0:40,0.00033727477283922446
cals-0:35,0.00013725274576769085
cals-0:30,0.00011531422888308996
cals-0:25,0.0005900849500406258
cals-0:20,0.0003161454362196059
cals-0:15,0.00011048187830559053
cals-0:10,0.00022338091729389163
cals-0:05,0.0004519618330736108
cals-0:00,0.0008725802933933768
p_num_p02,0.006690521966498475
p_num_p04,0.00622575745013576
p_num_p05,0.0005493967331719696
p_num_p06,0.0009321219571863271
p_num_p10,0.016369537470811324
p_num_p11,0.005560924796567735
p_num_p12,0.004657728288877972
p_num_p15,0.0006195507532859801
p_num_p16,0.0009381147087222264
p_num_p18,0.0026727419539255837
p_num_p19,0.00098277545697647
p_num_p21,0.0055548509045500235
p_num_p22,0.0005649343200843759
p_num_p24,0.0005149456813090869
